group,name,calories,protein,carb,fiber,Ferro(mg),sodium
Carnes e derivados,"Empada, de frango, pré-cozida","377,48","7,34","35,53","2,22","0,75","770,73"
Carnes e derivados,"Frango, asa, com pele, crua","213,19","18,10","0,00",NA,"0,57","96,30"
Carnes e derivados,"Frango, caipira, inteiro, com pele, cozido","242,89","23,88","0,00",NA,"1,66","56,09"
Carnes e derivados,"Frango, caipira, inteiro, sem pele, cozido","195,76","29,58","0,00",NA,"2,12","53,24"
Carnes e derivados,"Frango, coração, cru","221,50","12,58","0,00",NA,"4,09","95,06"
Carnes e derivados,"Frango, coração, grelhado","207,27","22,44","0,61",NA,"6,53","128,24"
Carnes e derivados,"Frango, coxa, com pele, assada","215,12","28,49","0,06",NA,"1,22","94,84"
Carnes e derivados,"Frango, coxa, com pele, crua","161,47","17,09","0,00",NA,"0,70","94,96"
Carnes e derivados,"Frango, coxa, sem pele, cozida","167,43","26,86","0,00",NA,"0,83","64,34"
Carnes e derivados,"Frango, coxa, sem pele, crua","119,95","17,81","0,02",NA,"0,78","98,37"
Carnes e derivados,"Frango, fígado, cru","106,48","17,59","-0,02",NA,"9,54","82,43"
Carnes e derivados,"Frango, filé, à milanesa","220,87","28,46","7,51","1,13","1,08","122,33"
Carnes e derivados,"Frango, inteiro, com pele, cru","226,32","16,44","0,00",NA,"0,62","62,88"
Carnes e derivados,"Frango, inteiro, sem pele, assado","187,34","28,03","0,00",NA,"0,55","70,27"
Carnes e derivados,"Frango, inteiro, sem pele, cozido","170,39","24,99","0,00",NA,"0,46","50,89"
Carnes e derivados,"Frango, inteiro, sem pele, cru","129,10","20,59","0,00",NA,"0,54","72,96"
Carnes e derivados,"Frango, peito, com pele, assado","211,68","33,42","0,00",NA,"0,48","55,70"
Carnes e derivados,"Frango, peito, com pele, cru","149,47","20,78","0,00",NA,"0,44","62,31"
Carnes e derivados,"Frango, peito, sem pele, cozido","162,87","31,47","0,00",NA,"0,34","36,17"
Carnes e derivados,"Frango, peito, sem pele, cru","119,16","21,53","0,00",NA,"0,43","56,14"
Carnes e derivados,"Frango, peito, sem pele, grelhado","159,19","32,03","0,00",NA,"0,33","50,25"
Carnes e derivados,"Frango, sobrecoxa, com pele, assada","259,60","28,70","0,00",NA,"1,21","95,94"
Carnes e derivados,"Frango, sobrecoxa, com pele, crua","254,53","15,46","0,00",NA,"0,71","68,27"
Carnes e derivados,"Frango, sobrecoxa, sem pele, assada","232,88","29,18","0,00",NA,"1,17","106,08"
Carnes e derivados,"Frango, sobrecoxa, sem pele, crua","161,80","17,57","0,00",NA,"0,90","79,75"
Carnes e derivados,"Hambúrguer, bovino, cru","214,84","13,16","4,15",*,"1,89","869,46"
Carnes e derivados,"Hambúrguer, bovino, frito","258,28","19,97","6,32",*,"3,02","1251,80"
Carnes e derivados,"Hambúrguer, bovino, grelhado","209,83","13,16","11,33",*,"2,64","1090,33"
Carnes e derivados,"Lingüiça, frango, crua","218,11","14,24","0,00",NA,"0,47","1125,81"
Carnes e derivados,"Lingüiça, frango, frita","245,46","18,32","0,00",NA,"0,79","1373,89"
Carnes e derivados,"Lingüiça, frango, grelhada","243,66","18,19","0,00",NA,"0,72","1351,49"
Carnes e derivados,"Lingüiça, porco, crua","227,20","16,06","0,00",NA,"0,44","1175,72"
Carnes e derivados,"Lingüiça, porco, frita","279,54","20,45","0,00",NA,"0,87","1431,59"
Carnes e derivados,"Lingüiça, porco, grelhada","296,49","23,17","0,00",NA,"1,01","1455,86"
Carnes e derivados,Mortadela,"268,82","11,95","5,82",NA,"1,47","1212,17"
Carnes e derivados,"Peru, congelado, assado","163,07","26,20","0,00",NA,"0,59","627,88"
Carnes e derivados,"Peru, congelado, cru","93,72","18,08","0,00",NA,"0,87","710,68"
Carnes e derivados,"Porco, bisteca, crua","164,12","21,50","0,00",NA,"0,53","54,29"
Carnes e derivados,"Porco, bisteca, frita","311,17","33,75","0,00",NA,"0,82","63,03"
Carnes e derivados,"Porco, bisteca, grelhada","280,08","28,89","0,00",NA,"0,86","51,45"
Carnes e derivados,"Porco, costela, assada","402,17","30,22","0,00",NA,"1,04","62,68"
Carnes e derivados,"Porco, costela, crua","255,61","18,00","0,00",NA,"0,90","87,98"
Carnes e derivados,"Porco, lombo, assado","210,23","35,73","0,00",NA,"0,46","38,92"
Carnes e derivados,"Porco, lombo, cru","175,63","22,60","0,00",NA,"0,47","53,07"
Carnes e derivados,"Porco, orelha, salgada, crua","258,49","18,52","0,00",NA,"1,41","615,60"
Carnes e derivados,"Porco, pernil, assado","262,26","32,13","0,00",NA,"1,25","62,41"
Carnes e derivados,"Porco, pernil, cru","186,06","20,13","0,00",NA,"0,89","101,89"
Carnes e derivados,"Porco, rabo, salgado, cru","377,42","15,58","0,00",NA,"0,62","1157,67"
Carnes e derivados,"Presunto, com capa de gordura","127,85","14,37","1,40",NA,"0,68","1020,77"
Carnes e derivados,"Presunto, sem capa de gordura","93,74","14,29","2,15",NA,"0,83","1039,19"
Carnes e derivados,"Quibe, assado","136,23","14,59","12,86","1,90","2,15","39,89"
Carnes e derivados,"Quibe, cru","109,49","12,35","10,77","1,65","1,65","38,77"
Carnes e derivados,"Quibe, frito","253,83","14,89","12,34",,"1,95","835,83"
Carnes e derivados,Salame,"397,84","25,81","2,91",NA,"1,25","1574,17"
Carnes e derivados,"Toucinho, cru","592,53","11,48","0,00",NA,"0,44","49,59"
Carnes e derivados,"Toucinho, frito","696,56","27,28","0,00",NA,"0,87","124,85"
Leite e derivados,"Bebida láctea, pêssego","55,16","2,13","7,57","0,29",Tr,"46,26"
Leite e derivados,Creme de Leite,"221,48","1,51","4,51",NA,"0,30","51,72"
Leite e derivados,"Iogurte, natural","51,49","4,06","1,92",NA,Tr,"51,62"
Leite e derivados,"Iogurte, natural, desnatado","41,49","3,83","5,77",NA,Tr,"59,64"
Leite e derivados,"Iogurte, sabor abacaxi",*,*,*,*,*,*
Leite e derivados,"Iogurte, sabor morango","69,57","2,71","9,69","0,22",Tr,"37,66"
Leite e derivados,"Iogurte, sabor pêssego","67,85","2,53","9,43","0,72","0,05","36,96"
Leite e derivados,"Leite, condensado","312,57","7,67","57,00",NA,"0,13","93,80"
Leite e derivados,"Leite, de cabra","66,42","3,07","5,25",NA,"0,10","73,95"
Leite e derivados,"Leite, de vaca, achocolatado","82,82","2,10","14,16","0,65","0,46","71,74"
Leite e derivados,"Leite, de vaca, desnatado, pó","361,61","34,69","53,04",NA,"0,93","431,67"
Leite e derivados,"Leite, de vaca, desnatado, UHT",*,*,*,NA,Tr,"51,14"
Leite e derivados,"Leite, de vaca, integral",*,*,*,NA,Tr,"63,76"
Leite e derivados,"Leite, de vaca, integral, pó","496,65","25,42","39,18",NA,"0,52","323,20"
Leite e derivados,"Leite, fermentado","69,62","1,89","15,67",NA,Tr,"33,43"
Leite e derivados,"Queijo, minas, frescal","264,27","17,41","3,24",NA,"0,93","31,23"
Leite e derivados,"Queijo, minas, meia cura","320,72","21,21","3,57",NA,"0,22","501,17"
Leite e derivados,"Queijo, mozarela","329,87","22,65","3,05",NA,"0,31","581,36"
Leite e derivados,"Queijo, parmesão","452,96","35,55","1,66",NA,"0,53","1844,08"
Leite e derivados,"Queijo, pasteurizado","303,08","9,36","5,68",NA,"0,27","780,43"
Leite e derivados,"Queijo, petit suisse, morango","121,11","5,79","18,46",NA,"0,14","412,47"
Leite e derivados,"Queijo, prato","359,88","22,66","1,88",NA,"0,28","579,77"
Leite e derivados,"Queijo, requeijão, cremoso","256,58","9,63","2,43",NA,"0,12","557,92"
Leite e derivados,"Queijo, ricota","139,73","12,60","3,79",NA,"0,14","282,58"
Bebidas (alcoólicas e não alcoólicas),"Bebida isotônica, sabores variados","25,61","0,00","6,40",NA,"0,67","44,08"
Bebidas (alcoólicas e não alcoólicas),"Café, infusão 10%","9,07","0,71","1,48",NA,Tr,"1,03"
Bebidas (alcoólicas e não alcoólicas),"Cana, aguardente 1","215,66",,,NA,Tr,"3,15"
Bebidas (alcoólicas e não alcoólicas),"Cana, caldo de","65,34",Tr,"18,15","0,14","0,75",Tr
Bebidas (alcoólicas e não alcoólicas),"Cerveja, pilsen 2","40,72","0,56","3,32",NA,Tr,"4,23"
Bebidas (alcoólicas e não alcoólicas),"Chá, erva-doce, infusão 5%","1,40","0,00","0,39",NA,Tr,"0,63"
Bebidas (alcoólicas e não alcoólicas),"Chá, mate, infusão 5%","2,73","0,00","0,64",NA,Tr,Tr
Bebidas (alcoólicas e não alcoólicas),"Chá, preto, infusão 5%","2,25","0,00","0,63",NA,Tr,Tr
Bebidas (alcoólicas e não alcoólicas),"Coco, água de","21,51","0,00","5,28","0,13",Tr,"1,78"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo água tônica","30,78","0,00","7,95",NA,Tr,"8,29"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo cola","33,51","0,00","8,66",NA,Tr,"7,12"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo guaraná","38,70","0,00","10,00",NA,Tr,"9,01"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo laranja","45,63","0,00","11,79",NA,Tr,"9,27"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo limão","39,72","0,00","10,26",NA,Tr,"8,80"
Ovos e derivados,"Omelete, de queijo","268,01","15,57","0,44",NA,"1,37","216,05"
Ovos e derivados,"Ovo, de codorna, inteiro, cru","176,89","13,69","0,77",NA,"3,35","128,99"
Ovos e derivados,"Ovo, de galinha, clara, cozida/10minutos","59,44","13,45","0,00",NA,"0,08","180,54"
Ovos e derivados,"Ovo, de galinha, gema, cozida/10minutos","352,67","15,90","1,56",NA,"2,92","44,91"
Ovos e derivados,"Ovo, de galinha, inteiro, cozido/10minutos","145,70","13,29","0,61",NA,"1,52","145,90"
Ovos e derivados,"Ovo, de galinha, inteiro, cru","143,11","13,03","1,64",NA,"1,56","167,91"
Ovos e derivados,"Ovo, de galinha, inteiro, frito","240,19","15,62","1,19",NA,"2,10","166,11"
Produtos açucarados,"Achocolatado, pó","401,02","4,20","91,18","3,89","5,36","64,79"
Produtos açucarados,"Açúcar, cristal","386,85","0,32","99,61",NA,"0,16",Tr
Produtos açucarados,"Açúcar, mascavo","368,55","0,76","94,45",NA,"8,30","25,20"
Produtos açucarados,"Açúcar, refinado","386,57","0,32","99,54",NA,"0,11","12,16"
Produtos açucarados,"Chocolate, ao leite","539,59","7,22","59,58","2,17","1,58","77,10"
Produtos açucarados,"Chocolate, ao leite, com castanha do Pará","558,88","7,41","55,38","2,46","1,47","64,05"
Produtos açucarados,"Chocolate, ao leite, dietético","556,82","6,90","56,32","2,85","3,31","84,71"
Produtos açucarados,"Chocolate, meio amargo","474,92","4,86","62,42","4,94","3,61","8,87"
Produtos açucarados,Cocada branca,"448,85","1,12","81,38","3,57","1,24","28,99"
Produtos açucarados,"Doce, de abóbora, cremoso","198,94","0,92","54,61","2,28","0,85",Tr
Produtos açucarados,"Doce, de leite, cremoso","306,31","5,48","59,49",NA,"0,07","120,09"
Produtos açucarados,"Geléia, mocotó, natural","106,09","2,13","24,23",NA,"0,12","42,68"
Produtos açucarados,Glicose de milho,"292,12","0,00","79,38",NA,"0,05","58,93"
Produtos açucarados,Maria mole,"301,24","3,81","73,55","0,67","0,39","15,31"
Produtos açucarados,"Maria mole, coco queimado","306,63","3,93","75,06","0,64","0,47","14,29"
Produtos açucarados,Marmelada,"257,24","0,40","70,76","4,07","0,73","10,88"
Produtos açucarados,"Mel, de abelha","309,24","0,00","84,03",NA,"0,25","6,04"
Produtos açucarados,Melado,"296,51","0,00","76,62",NA,"5,39","4,01"
Produtos açucarados,Quindim,"411,35","4,74","46,30","3,22","1,38","27,37"
Produtos açucarados,Rapadura,"351,96","0,99","90,79",NA,"4,44","21,71"
Miscelâneas,"Café, pó, torrado","418,62","14,70","65,75","51,23","8,13","1,13"
Miscelâneas,"Capuccino, pó","417,41","11,31","73,61","2,44","2,28","382,29"
Miscelâneas,"Fermento em pó, químico","89,72","0,48","43,91",NA, ,"10052,41"
Miscelâneas,"Fermento, biológico, levedura, tablete","89,79","16,96","7,70","4,17","2,62","39,61"
Miscelâneas,"Gelatina, sabores variados, pó","380,22","8,89","89,22",NA,"0,33","234,92"
Miscelâneas,"Sal, dietético",NA,NA,NA,NA,,"23431,52"
Miscelâneas,"Sal, grosso",NA,NA,NA,NA,,"39943,20"
Miscelâneas,Shoyu,"60,93","3,31","11,65",NA,"0,50","5024,21"
Miscelâneas,Tempero a base de sal,"21,33","2,67","2,07","0,56",,"32560,00"
Outros alimentos industrializados,"Azeitona, preta, conserva","194,15","1,16","5,54","4,56","5,45","1566,66"
Outros alimentos industrializados,"Azeitona, verde, conserva","136,94","0,95","4,10","3,85","0,18","1347,18"
Outros alimentos industrializados,"Chantilly, spray, com gordura vegetal","314,96","0,53","16,86",NA,Tr,"109,70"
Outros alimentos industrializados,"Leite, de coco","166,16","1,01","2,19","0,68","0,46","44,29"
Outros alimentos industrializados,"Maionese, tradicional com ovos","302,15","0,58","7,90",NA,"0,10","786,83"
Alimentos preparados,Acarajé,"289,21","8,35","19,11","9,36","1,93","304,89"
Alimentos preparados,Arroz carreteiro,"153,77","10,83","11,58","1,50","0,96","1621,73"
Alimentos preparados,"Baião de dois, arroz e feijão-de-corda","135,68","6,24","20,42","5,07","0,56","93,30"
Alimentos preparados,Barreado,"164,98","18,27","0,24","0,15","2,44","47,63"
Alimentos preparados,"Bife à cavalo, com contra filé","291,23","23,66","0,00",NA,"2,10","82,87"
Alimentos preparados,Bolinho de arroz,"273,51","8,04","41,68","2,74","2,12","58,86"
Alimentos preparados,Camarão à baiana,"100,78","7,94","3,17","0,39","1,42","84,79"
Alimentos preparados,"Charuto, de repolho","78,23","6,78","10,13","1,46","0,86","12,10"
Alimentos preparados,"Cuscuz, de milho, cozido com sal","113,46","2,16","25,28","2,05","0,17","247,67"
Alimentos preparados,"Cuscuz, paulista","142,12","2,56","22,51","2,43","0,33","235,71"
Alimentos preparados,"Cuxá, molho","80,09","5,64","5,74","3,02","0,94","1344,29"
Alimentos preparados,Dobradinha,"124,50","19,77","0,00",NA,"1,01","28,77"
Alimentos preparados,Estrogonofe de carne,"173,14","15,03","2,98",,"2,70","122,85"
Alimentos preparados,Estrogonofe de frango,"156,81","17,55","2,59",,"1,52","99,46"
Alimentos preparados,Feijão tropeiro mineiro,"151,56","10,17","19,58","3,57","2,16","365,07"
Alimentos preparados,Feijoada,"116,93","8,67","11,64","5,09","1,35","278,22"
Alimentos preparados,"Frango, com açafrão","112,78","9,70","4,06","0,22","0,84","28,81"
Alimentos preparados,"Macarrão, molho bolognesa","119,53","4,93","22,52","0,78","1,39","8,94"
Alimentos preparados,Maniçoba,"134,22","9,96","3,42","2,16","3,22","406,70"
Alimentos preparados,Quibebe,"86,35","8,56","6,64","1,67","0,78","246,61"
Alimentos preparados,"Salada, de legumes, com maionese","96,10","1,05","8,92","2,22","0,23","228,43"
Alimentos preparados,"Salada, de legumes, cozida no vapor","35,41","2,01","7,09","2,51","0,44","2,51"
Alimentos preparados,"Salpicão, de frango","147,86","13,93","4,57","0,41","0,32","248,35"
Alimentos preparados,Sarapatel,"122,98","18,47","1,09",,"7,18","215,62"
Alimentos preparados,Tabule,"57,45","2,05","10,58","2,08","0,55","1,19"
Alimentos preparados,Tacacá,"46,89","6,96","3,39","0,21","0,95","1349,06"
Alimentos preparados,"Tapioca, com manteiga","347,83","0,09","63,59",Tr,"0,24","157,52"
Alimentos preparados,"Tucupi, com pimenta-de-cheiro","27,18","2,06","4,74","0,23","1,15","5,13"
Alimentos preparados,Vaca atolada,"144,90","5,12","10,06","2,34","0,73","25,63"
Alimentos preparados,Vatapá,"254,89","6,00","9,75","1,70","1,44","879,85"
Alimentos preparados,Virado à paulista,"306,95","10,18","14,11","2,16","1,05","345,53"
Alimentos preparados,Yakisoba,"112,80","7,52","18,25","1,06","0,62","793,76"
Leguminosas e derivados,"Amendoim, grão, cru","544,05","27,19","20,31","8,04","2,53",Tr
Leguminosas e derivados,"Amendoim, torrado, salgado","605,78","22,48","18,70","7,76","1,33","375,73"
Leguminosas e derivados,"Ervilha, em vagem","88,09","7,45","14,23","9,72","1,44",Tr
Leguminosas e derivados,"Ervilha, enlatada, drenada","73,84","4,60","13,44","5,08","1,39","372,11"
Leguminosas e derivados,"Feijão, carioca, cozido","76,42","4,78","13,59","8,51","1,29","1,76"
Leguminosas e derivados,"Feijão, carioca, cru","329,03","19,98","61,22","18,42","7,99",Tr
Leguminosas e derivados,"Feijão, fradinho, cozido","78,01","5,09","13,50","7,47","1,06","0,98"
Leguminosas e derivados,"Feijão, fradinho, cru","339,16","20,21","61,24","23,59","5,13","10,31"
Leguminosas e derivados,"Feijão, jalo, cozido","92,74","6,14","16,50","13,87","1,92","0,52"
Leguminosas e derivados,"Feijão, jalo, cru","327,91","20,10","61,48","30,32","7,03","24,58"
Leguminosas e derivados,"Feijão, preto, cozido","77,03","4,48","14,01","8,40","1,47","1,85"
Leguminosas e derivados,"Feijão, preto, cru","323,57","21,34","58,75","21,83","6,46",Tr
Leguminosas e derivados,"Feijão, rajado, cozido","84,70","5,54","15,27","9,32","1,36","0,69"
Leguminosas e derivados,"Feijão, rajado, cru","325,84","17,27","62,93","24,01","18,58","13,65"
Leguminosas e derivados,"Feijão, rosinha, cozido","67,87","4,54","11,82","4,76","1,18","2,08"
Leguminosas e derivados,"Feijão, rosinha, cru","336,96","20,92","62,22","20,63","5,32","24,11"
Leguminosas e derivados,"Feijão, roxo, cozido","76,89","5,72","12,91","11,51","1,41","1,46"
Leguminosas e derivados,"Feijão, roxo, cru","331,41","22,17","59,99","33,84","6,92","9,76"
Leguminosas e derivados,"Grão-de-bico, cru","354,70","21,23","57,88","12,36","5,38","5,19"
Leguminosas e derivados,"Guandu, cru","344,13","18,96","64,00","21,31","1,94","1,62"
Leguminosas e derivados,"Lentilha, cozida","92,64","6,31","16,30","7,86","1,48","1,18"
Leguminosas e derivados,"Lentilha, crua","339,14","23,15","62,00","16,94","7,05",Tr
Leguminosas e derivados,"Paçoca, amendoim","486,93","16,00","52,38","7,32","1,13","166,84"
Leguminosas e derivados,"Pé-de-moleque, amendoim","503,19","13,16","54,73","3,39","1,26","16,35"
Leguminosas e derivados,"Soja, farinha","403,96","36,03","38,44","20,18","13,06","5,75"
Leguminosas e derivados,"Soja, extrato solúvel, natural, fluido","39,10","2,38","4,28","0,37","0,43","56,53"
Leguminosas e derivados,"Soja, extrato solúvel, pó","458,90","35,69","28,48","7,31","7,01","83,47"
Leguminosas e derivados,"Soja, queijo (tofu)","64,49","6,55","2,13","0,75","1,43","1,21"
Leguminosas e derivados,"Tremoço, cru","381,28","33,58","43,79","32,31","2,79","3,29"
Leguminosas e derivados,"Tremoço, em conserva","120,64","11,11","12,39","14,44","0,34","1808,76"
Leguminosas e derivados,"Amêndoa, torrada, salgada","580,75","18,55","29,55","11,64","3,06","278,52"
Leguminosas e derivados,"Castanha-de-caju, torrada, salgada","570,17","18,51","29,13","3,66","5,22","125,00"
Leguminosas e derivados,"Castanha-do-Brasil, crua","642,96","14,54","15,08","7,93","2,31","0,65"
Leguminosas e derivados,"Coco, cru","406,49","3,69","10,40","5,38","1,76","15,32"
Leguminosas e derivados,"Coco,  verde, cru",*,*,*,*,*,*
Leguminosas e derivados,"Farinha, de mesocarpo de babaçu, crua","328,77","1,41","79,17","17,86","18,33","12,46"
Leguminosas e derivados,"Gergelim, semente","583,55","21,16","21,62","11,87","5,45","2,58"
Leguminosas e derivados,"Linhaça, semente","495,10","14,08","43,31","33,50","4,70","8,67"
Leguminosas e derivados,"Pinhão, cozido","174,37","2,98","43,92","15,60","0,76","0,86"
Leguminosas e derivados,"Pupunha, cozida","218,53","2,52","29,57","4,25","0,52","0,91"
Leguminosas e derivados,"Noz, crua","620,06","13,97","18,36","7,25","2,04","4,57"
